s.no,Institute,Subject,Location,Trainer_Qualification,Online_classes,Offline_classes,Course_level,Placements,Certificate,Trainer_experiance,Course_hours,Course_rating,Rental_permises,Trainer_slary,Maintaince_cost,Non_teaching_staff_salary,Price
453,Edvancer,DataScience,Delhi,Doctorate,no,no,beginer,Yes,Yes,17,180,4,133,724,134,202,1319
454,Great_Learn,ProjectManagement,Hyderabad,Graduate,no,Yes,advanced,Yes,Yes,10,112,3,77,490,78,131,848
455,Guvi,FullstackDataScience,Kanpour,Doctorate,no,no,intermediate,Yes,Yes,14,153,4,109,622,111,172,1120
456,Udemy,python,Mumbai,Doctorate,Yes,Yes,beginer,No,Yes,10,111,3,77,465,78,130,842
457,Great_Learn,ProjectManagement,Kanpour,Graduate,Yes,no,intermediate,Yes,Yes,9,106,3,72,465,73,124,802
458,Datatrain,DigitalMarketing,Calcutta,UnderGraduate,Yes,no,advanced,No,Yes,15,156,4,112,633,114,175,1145
459,Udemy,FullstackDataScience,Pune,Doctorate,no,no,intermediate,Yes,Yes,4,59,1,31,280,33,72,456
460,Upgrad,DataScience,Delhi,Graduate,no,no,intermediate,Yes,Yes,6,75,2,47,347,48,92,578
461,Guvi,DigitalTransformation,Hyderabad,Doctorate,Yes,no,advanced,No,Yes,11,118,3,84,511,83,137,882
462,Edx,DataScience,Kanpour,Graduate,Yes,no,advanced,Yes,Yes,2,51,1,23,247,25,63,392
463,Upgrad,ProjectManagement,Kanpour,UnderGraduate,Yes,no,beginer,No,Yes,11,118,3,84,511,83,138,883
464,Simple_learn,CloudComputing,Delhi,UnderGraduate,no,Yes,beginer,No,Yes,16,169,4,124,682,125,190,1248
465,Simple_learn,ArtificialIntelligence,Delhi,UnderGraduate,no,no,advanced,No,Yes,12,124,3,87,532,88,143,932
466,Edx,python,Hyderabad,Graduate,no,Yes,advanced,No,Yes,14,148,4,105,606,107,167,1085
467,Upgrad,FullstackDataScience,Kanpour,Graduate,Yes,Yes,advanced,No,Yes,8,88,3,91,554,92,106,677
468,Great_Learn,python,Ahmedabad,Doctorate,Yes,Yes,advanced,Yes,Yes,11,113,3,78,495,79,132,858
469,Guvi,DigitalTransformation,Ahmedabad,UnderGraduate,Yes,Yes,advanced,Yes,Yes,2,51,1,25,249,26,64,397
470,innomatics,ProjectManagement,Bengaluru,Doctorate,Yes,no,intermediate,Yes,Yes,20,198,5,148,794,149,223,1492
471,Udemy,Dataanalysis,Calcutta,Graduate,Yes,Yes,advanced,No,Yes,9,105,3,71,462,72,123,796
472,Coursera,BigData,Pune,UnderGraduate,Yes,Yes,beginer,No,Yes,15,159,4,115,642,116,178,1161
473,Edureka,BigData,Hyderabad,Graduate,no,no,advanced,No,Yes,18,177,4,129,711,131,198,1295
474,Upgrad,DigitalMarketing,Calcutta,Graduate,no,no,advanced,Yes,Yes,3,56,1,28,267,30,69,432
475,Simple_learn,python,Ahmedabad,Doctorate,Yes,Yes,advanced,Yes,Yes,17,174,4,127,698,128,195,1285
476,Datatrain,DataScience,Chennai,UnderGraduate,Yes,no,advanced,No,Yes,9,97,2,64,434,66,115,745
477,Datatrain,BigData,Hyderabad,Graduate,no,Yes,advanced,No,Yes,13,134,3,95,562,96,153,996
478,Guvi,ArtificialIntelligence,Calcutta,UnderGraduate,no,Yes,intermediate,Yes,Yes,5,65,2,38,306,39,80,505
479,Guvi,DataScience,Mumbai,Graduate,no,Yes,advanced,No,Yes,11,120,3,85,515,84,138,889
480,Great_Learn,Dataanalysis,Hyderabad,Doctorate,no,Yes,intermediate,No,Yes,17,173,4,127,697,128,194,1280
481,Udemy,FullstackDataScience,Chennai,UnderGraduate,Yes,Yes,beginer,No,Yes,13,139,4,103,577,104,158,1027
482,Coursera,Dataanalysis,Delhi,Doctorate,no,no,advanced,Yes,Yes,6,77,2,49,354,50,94,595
483,360DigiTMG,DigitalTransformation,Pune,UnderGraduate,Yes,no,advanced,Yes,Yes,18,179,4,131,720,133,201,1329
484,Datatrain,CloudComputing,Chennai,Graduate,Yes,Yes,advanced,No,Yes,14,145,3,104,599,105,164,1073
485,Edureka,ArtificialIntelligence,Hyderabad,UnderGraduate,no,Yes,beginer,No,Yes,14,143,3,102,592,104,162,1058
486,ExcelR,DataScience,Calcutta,Doctorate,Yes,Yes,advanced,No,Yes,15,159,4,115,640,117,179,1167
487,Edx,DataScience,Mumbai,Graduate,Yes,Yes,beginer,No,Yes,2,51,1,24,246,25,63,390
488,Edvancer,FullstackDataScience,Pune,UnderGraduate,Yes,Yes,advanced,Yes,Yes,7,85,2,54,386,56,103,657
489,Upgrad,CloudComputing,Kanpour,UnderGraduate,no,Yes,advanced,No,Yes,1,42,1,15,210,16,52,307
490,Guvi,DigitalMarketing,Ahmedabad,Graduate,Yes,Yes,intermediate,No,Yes,9,136,3,97,569,98,155,1010
491,Data_camp,CloudComputing,Ahmedabad,Doctorate,no,Yes,beginer,Yes,Yes,16,171,4,124,686,126,191,1257
492,innomatics,DigitalMarketing,Bengaluru,Doctorate,Yes,no,beginer,Yes,Yes,12,127,3,89,539,90,146,946
493,ExcelR,BigData,Calcutta,Doctorate,Yes,no,advanced,Yes,Yes,11,121,3,84,520,85,140,904
494,Data_camp,ProjectManagement,Calcutta,UnderGraduate,no,Yes,beginer,Yes,Yes,13,139,4,103,577,104,158,1027
495,Data_camp,ProjectManagement,Chennai,UnderGraduate,no,no,beginer,Yes,Yes,6,74,2,46,343,47,90,578
496,Data_camp,Dataanalysis,Bengaluru,Graduate,Yes,Yes,advanced,No,Yes,15,159,4,116,640,117,179,1167
497,Datatrain,DigitalMarketing,Mumbai,Doctorate,Yes,no,advanced,No,Yes,12,128,3,90,545,91,147,958
498,360DigiTMG,DigitalMarketing,Pune,UnderGraduate,Yes,Yes,beginer,No,Yes,11,119,3,83,515,84,138,896
499,Edx,ArtificialIntelligence,Delhi,Doctorate,no,Yes,advanced,Yes,Yes,12,127,3,89,539,90,146,946
500,innomatics,DataScience,Chennai,Graduate,Yes,no,intermediate,No,Yes,7,86,2,56,390,57,100,665
501,Upgrad,DigitalMarketing,Calcutta,UnderGraduate,no,Yes,beginer,No,Yes,11,118,3,84,511,83,137,887
502,Data_camp,ProjectManagement,Kanpour,UnderGraduate,no,no,intermediate,No,Yes,10,109,3,75,478,76,127,825
503,Upgrad,FullstackDataScience,Delhi,UnderGraduate,Yes,no,intermediate,No,Yes,17,178,4,131,714,132,199,1318
504,Upgrad,DigitalTransformation,Chennai,Doctorate,Yes,Yes,intermediate,Yes,Yes,12,127,3,89,541,90,146,948
505,Great_Learn,DigitalMarketing,Ahmedabad,Doctorate,no,no,intermediate,No,Yes,7,83,2,53,377,54,100,642
506,Datatrain,DataScience,Calcutta,UnderGraduate,no,Yes,beginer,No,Yes,13,143,4,103,592,104,162,1057
507,innomatics,CloudComputing,Ahmedabad,Doctorate,no,Yes,advanced,No,Yes,19,194,5,144,779,145,219,1459
508,ExcelR,FullstackDataScience,Kanpour,Graduate,no,Yes,beginer,Yes,Yes,9,105,3,72,463,73,124,800
509,Coursera,DigitalMarketing,Calcutta,UnderGraduate,Yes,no,beginer,Yes,Yes,16,168,4,123,675,124,188,1235
510,360DigiTMG,python,Bengaluru,Doctorate,Yes,Yes,intermediate,No,Yes,13,130,3,90,545,91,147,950
511,Edureka,BigData,Ahmedabad,Graduate,Yes,no,beginer,Yes,Yes,4,68,2,40,317,41,83,528
512,innomatics,CloudComputing,Hyderabad,Graduate,Yes,Yes,advanced,Yes,Yes,20,198,5,149,796,149,224,1496
513,Edx,FullstackDataScience,Calcutta,UnderGraduate,Yes,Yes,intermediate,No,Yes,19,192,5,142,770,143,217,1451
514,Guvi,ProjectManagement,Kanpour,Graduate,Yes,Yes,intermediate,Yes,Yes,4,61,2,34,290,35,75,476
515,Edvancer,BigData,Kanpour,UnderGraduate,Yes,Yes,advanced,Yes,Yes,15,167,4,123,653,124,188,1234
516,Guvi,BigData,Pune,Doctorate,no,no,advanced,Yes,Yes,2,49,1,22,238,23,61,377
517,innomatics,DigitalMarketing,Kanpour,UnderGraduate,Yes,no,advanced,No,Yes,13,131,3,92,544,94,150,977
518,Data_camp,Dataanalysis,Hyderabad,UnderGraduate,Yes,no,beginer,No,Yes,17,178,4,131,714,132,199,1318
519,Data_camp,DataScience,Chennai,Doctorate,no,Yes,beginer,Yes,Yes,17,180,4,135,723,134,202,1336
520,innomatics,ProjectManagement,Pune,Graduate,Yes,no,intermediate,No,Yes,18,184,5,138,738,137,207,1371
521,Edureka,CloudComputing,Delhi,Graduate,no,Yes,intermediate,Yes,Yes,4,66,1,29,269,30,69,435
522,Edx,FullstackDataScience,Hyderabad,Doctorate,no,no,beginer,Yes,Yes,20,195,5,147,784,146,220,1462
523,ExcelR,DigitalTransformation,Delhi,Graduate,no,Yes,intermediate,Yes,Yes,1,42,1,16,212,16,95,601
524,Datatrain,CloudComputing,Pune,UnderGraduate,no,no,beginer,No,Yes,5,68,1,31,275,32,71,446
525,Guvi,CloudComputing,Delhi,Graduate,Yes,Yes,beginer,Yes,Yes,15,162,4,121,655,120,182,1187
